 ,,,,,,,,,,,,,,,,,,,,,
,更新情况,,,,,产品,,,前端,,,,后端,,,,测试,,,,更新情况
13,已发布,9.18版本,平台报表,"""需求问题：建议在后台新增“游戏返奖率统计”项目，方便查看和分析。",运营,Jay,文档或原型完成,2025-9-15,Erde,开发完成,,,Damon,开发完成,,,Marina,测试完成,,,2025-9-18
14,已发布,9.18版本,,需求问题：活动账变报表增加导出功能,,,,,Sam,开发完成,,,harris,开发完成,,,Marina,测试完成,,,2025-9-18
15,已发布,9.25版本,,需求问题：邀请转盘=》转盘出款审核 增加导出功能,,,需求任务已处理,,Sam,,,,Len,开发完成,,,Carey,测试完成,,,2025-9-24
16,暂不处理,,,需求问题：视频教程，增加进度条，方便会员操作回放,,,暂不修改,,,,,,,,,,,,,,
17,暂不处理,,, 运营要求在用户详情增加查询按钮可以点击刷新最新的详情。,移动到标签右键刷新当前,,暂不修改,,Seven,,,,,,,,,,,,
18,已发布,9.18版本,,RA9 渠道来源在会员列表可以看到在详情里面没有显示,官方official等,,看任务直接做,,,,,,Damon,开发完成,,,Marina,测试完成,,,2025-9-18
19,已发布,快速迭代,,需求： RA9-运营要求当邀请转盘满足提现金额时，增加提现弹窗提醒,,Porter,需求任务已处理,2025-10-27,Seven,开发完成,,,Owen,开发完成,,,vivi,测试完成,,,2025-11-7
20,已发布,9.18版本,邀请转盘审核,运营要求：在邀请转盘出款审核页面，添加点击会员id可以查看用户详情的功能，下级id也要添加,,,看任务直接做,2025-9-12,Seven,开发完成,,,,,,,Carey,测试完成,,,2025-9-18
21,已发布,9.18版本,邀请转盘审核,运营要求在后台右上角消息提醒这里加一个转盘待审核笔数,,,看任务直接做,2025-9-13,Seven,开发完成,,,Len,开发完成,,,Carey,测试完成,,,2025-9-18
22,已发布,9.18版本,邀请转盘数据统计,需求：RA9-运营要求更改邀请转盘邀请成功率的计算方式,运营,,看任务直接做,2025-9-12,,,,,Owen,开发完成,,,Carey,,,,2025-9-18
23,暂不处理,,,运营要求在【会员列表】这里加上可以搜索设备类型的功能,,,暂不修改,,Darrel,,,,,,,,Marina,,,,
24,已发布,9.18版本,,运营要求在【邀请转盘审核面板】注册IP、 设备 、浏览器指纹  ，增加一下（N）展示同IP 、 同设备 、同浏览器指纹的会员id数量，可以点击查看详情,,,看任务直接做,2025-9-12,Erde,开发完成,,,Len,开发完成,,,Carey,,,,2025-9-18
25,已发布,,,邀请转盘审核面板的下级，对应的设备信息都不显示，需要技术排查处理,BUG早已修复,,暂不修改,,Seven,,,,,,,,Carey,,,,2025-9-10
26,已发布,9.18版本,,消息管理中的定制化弹窗，这个弹窗，每天只弹一次的功能还是没有生效，运营要求加急让技术处理一下,,Jay,看任务直接做,2025-9-12,Justin,,,,Hyman,开发完成,,,Carey,测试完成,,,2025-9-18
27,已发布,9.18版本,,平台SaaS-RA9-平台净盈利与平台净入款数据完全一致，疑似存在统计错误  ,数据一致性,Jay,看任务直接做,2025-9-12,,,,,,,,,Marina,测试完成,,,2025-9-18
28,已发布,9.25版本,新增功能,新增经济系统日报的功能，可以清楚的查看各项彩金的分布：字段可以根据一下表格字段进行，，每天一横的排列过去，然后参与的人数可以直接点击下载导出具体领取人的详情名单,运营,Jay,需求任务已处理,2025-9-16,Sam,,,,harris,开发完成,,,Carey,测试完成,,,2025-9-24
29,已发布,9.18版本,首充分析优化,"天数要增加1-2-3-4-5-6-7-10-15-20-25-30-60-90-120-180复充人数跟比例字段，并且要能多选汇总，这个之前需求会议有重点进行沟通，不清楚的可以再次沟通确认
新增一个当天首充未复充的字段，并且需要可以下载出来名单",运营,Jay,文档或原型完成,2025-9-12,Sam,开发完成,,,Owen,开发完成,,,Marina,测试完成,,,2025-9-18
30,已发布,9.25版本,平台报表每日汇总优化,新增盘内总余额的数据字段跟新增充值转化率字段，（当日新增首充人数/当天新增注册会员）,,,需求任务已处理,2025-9-16,June,开发完成,2025-9-18,2025-9-18,Owen,,,,Carey,测试完成,,,2025-9-24
31,已发布,9.18版本,特邀彩金优化,"""这个特邀彩金奖励图片要有显示金额，要求额外加一个按钮显示金额",运营,,看任务直接做,2025-9-12,Justin,开发完成,2025-9-15,2025-9-15,Damon,开发完成,,,Carey,测试完成,,,2025-9-18
32,已发布,9.18版本,数据总览跟分包总览优化,增加一项提款人数的字段-加在提款金额前面,运营,Jay,看任务直接做,2025-9-12,June,开发完成,2025-9-15,2025-9-15,Owen,开发完成,,,Marina,测试完成,,,2025-9-18
33,已发布,9.18版本,充值转盘设置,完成二、三充才生效充值转盘，二、三充各自一个开关。实际效果和原来首充逻辑一致,运营,,文档或原型完成,,Seven,开发完成,,,Len,开发完成,,,Carey,,,,2025-9-18
34,已发布,9.25版本,一级、二级、弹窗、活动页面配置优化,需要增加标分组自动识别二充、三充的的会员，弹窗相对应标签分组的活动内容,运营,Jay,需求任务已处理,2025-9-12,Darrel,开发完成,,,Owen,开发完成,,,Carey,测试完成,,,2025-9-24
35,已发布,9.18版本,留存率报表优化,"所有基数全部都按照登录为基础，留存类别区分为:新增留存-活跃留存-投注留存-首充留存-老用户付费留存
时间基数分为：次日留存(%)-3日留存(%)-5日留存(%)-7日留存(%)-10日留存(%)-15日留存(%)-30日留存(%)60日留存(%)-90日留存(%)-120日留存(%)-180日留存(%)",运营,,文档或原型完成,2025-9-16,June,开发完成,2025-9-16,2025-9-16,Owen,开发完成,,,Marina,测试完成,,,2025-9-18
36,已发布,10.23版本,充提通道报表优化,分别区分出每天唤醒-原生-扫码充值金额的占比，跟成功率，,运营,Porter,需求任务已处理,2025-10-11,June,开发完成,,,nick,,2025-10-15,2025-10-18,Carey,系统测试,,,2025-10-22
37,暂不处理,,渠道充值分类报表,"新增一个报表，可以直观看出每天总的充值金额分别由哪几个大类充值金额的，几个大类分别占总充值金额多
大类区分为：官网-代理-转盘-FB落地-谷歌包",运营,,暂不修改,,June,,,,,,,,,,,,
38,已发布,9.18版本,站内信优化,站内信新增一个修改的功能，在还没有发送出去的时候可以在进行修改，修改没问题后再确认发送,运营,,需求任务已处理,,Darrel,开发完成,2025-9-17,2025-9-17,Hyman,开发完成,,,Marina,测试完成,,,2025-9-18
39,已发布,9.18版本,钱包项目对接,接入ARUPI,正式投放需要,Jay,需求任务已处理,,Justin,开发完成,,,Len,开发完成,,,Michael,测试准备中,,,2025-9-18
40,已发布,9.18版本,三方埋点,"服务器事件更换，配合投流效果表格
FB首充事件调整为：Subscribe
Adjust首充事件调整为：Subscription Purchase",正式投放需要,Jay,需求任务已处理,2025-9-12,,,,,Damon,开发完成,,,Michael,测试完成,,,2025-9-18
41,已发布,,首充限制,通过IP，指纹，设备进行限制充值商品奖励只能获得一次,严控首充,Jay,需求任务已处理,2025-9-12,Justin,开发完成,2025-9-13,2025-9-13,Hyman,开发完成,2025-9-13,2025-9-13,Marina,测试完成,2025-9-13,2025-9-13,2025-9-13
42,暂不处理,,邀请转盘数据统计,不同数值的邀请转盘，统计数据都要区分开。例如200、500、总和各一份。,"运营
活动都放弃分开了
暂时不用",Jay,,,,,,,,,,,Carey,,,,
43,已发布,9.18版本,邀请转盘,邀请转盘前端界面，中奖记录显示被邀请人，让会员心里清楚，由于邀请到了谁 给他加了钱。参考如图,运营,Jay,需求任务已处理,,无,,,,Owen,开发完成,,,Carey,测试完成,,,2025-9-18
44,已发布,9.18版本,,平台SaaS-RA9-用户流失分析导出数据与后台记录不一致,,Jay,需求任务已处理,,Sam,,,,,,,,Marina,测试完成,,,2025-9-18
45,已发布,,,平台SaaS-RA9-会员转盘轮次显示异常,,Jay,需求任务已处理,,,,,,,,,,Carey,测试完成,,,2025-9-25
46,暂不处理,,,162588 在2025/9/12 12:30:32 的时候已经拉黑到禁止提现黑名单了，但是9/12 13:50之后还在提现，要求排查一下原因,添加的时候没有添加提现账号,,暂不修改,,,,,,,,,,,,,,
47,已发布,9.18版本,,BUG:RA9后台提现订单导出的数据与后台显示的时间不一致,,,看任务直接做,,Erde,开发完成,,,,,,,Marina,测试完成,,,2025-9-18
48,暂不处理,,,运营反馈前台点击加载的反应速度慢，要求把特效全部去掉再试试看,,,,,Erde,开发完成,,,,,,,Michael,测试准备中,,,
49,已发布,9.25版本,,导出功能完整调整,开发优化,,需求任务已处理,,Sam,,,,"Owen, Damon, Hyman, Len, harris",开发完成,,,Marina,测试完成,,,2025-9-24
50,已发布,9.18版本,,右上角三方待入款通知移除,,Jay,看任务直接做,2025-9-13,Erde,开发完成,,,,-,,,Marina,测试完成,,,2025-9-18
51,已发布,9.18版本,,Firebase发送时间异常修复,,Jay,看任务直接做,2025-9-13,Darrel,开发完成,,,,,,,Marina,测试完成,,,2025-9-18
52,已发布,9.25版本,,反向优惠需要在界面上显示,UI已完成,Jay,需求任务已处理,2025-9-8,Justin,开发完成,,,Hyman,开发完成,,,Marina,测试完成,,,2025-9-24
53,已发布,快速迭代,,运营要求在仪表盘这个时间维度数据统计，新增一个充值人数的选项,,Jay,需求任务已处理,2025-10-24,Peggy,,,,Gavin,开发完成,,,Marina,测试完成,,,2025-10-25
54,已发布,9.18版本,,RA9后台三级代理配置，配置了邀请下级充值100并投注100，上级获得50、下级获得10的奖励。但是ID upline : 158606  ID downline : 181058 ，这两个账号没有收到对应奖励，需要技术排查看下,,,,,,,,,Len,开发完成,,,Michael,测试完成,,,2025-9-18
55,已发布,9.25版本,提现功能,需求问题：取款手续费按整数扣除规则,,,,,,,,,,,,,Carey,测试完成,,,2025-9-24
56,已发布,,,"报表管理-（有效投注）游戏管理-（有效投注）投注金额与有效投注金额数据都对不上是以哪个数据为准。
要以哪个页面的有效投注为准？ ",统计问题,,,,,,,,,,,,,,,,2025-9-24
57,已发布,9.18版本,BUG修复,平台SaaS-6002-首页导航菜单点击后没有滑动到对应的游戏,,Jay,看任务直接做,,Sam,,,,,,,,Michael,,,,2025-9-18
58,已发布,9.18版本,,需求:RA9-运营希望将Telegram通道预警消息代收代付分别整合成一条不进行分页,,,,,不需要前端,,,,,,,,,,,,2025-9-18
59,已发布,快速迭代,,需求:RA9-运营反馈前台绑定用户钱包信息的真实姓名可以帮忙改成纯英文字母吗？运营说需要和老平台一样的限制，帮忙看下,前台姓名限制纯英文输入,Jay,需求任务已处理,2025-10-24,Erde,,,,Owen,,,,Marina,测试完成,,,2025-10-25
60,已发布,9.25版本,,需求： 目前页面最大是50/页 运营要求增加最大500或1000,,,,,Seven,开发完成,,,,,,,Carey,测试完成,,,2025-9-24
61,已发布,9.18版本,,ra9 需求 充值订单和提款订单中所有功能的id都可以点击跳转到用户详情。,,Jay,看任务直接做,2025-9-17,Erde,开发完成,,,,,,,Marina,测试完成,,,2025-9-18
62,已发布,9.25版本,,ra9 需求，运营要求提款审核页面的银行详情展示到列表中（目前是需要点击详情进入查看）,,,,,Sam,,,,,,,,Carey,测试完成,,,2025-9-24
63,已发布,9.18版本,转盘调整需求,邀请转盘增加隐藏设计，第一次邀请次数旋转的中奖概率按照配置值的1%生效,,Jay,看任务直接做,2025-9-16,Seven,,,,Gavin,开发完成,,,Carey,,,,2025-9-18
64,已发布,9.25版本,, facebook像素ID的Access Token内容缩略,,Jay,需求任务已处理,2025-9-17,Darrel,开发完成,,,,,,,Michael,,,,2025-9-24
65,已发布,10.2版本,,后台增加多语言配置,完成英文机翻一版,,需求任务已处理,,Erde,,,,,,,,"Carey, Marina",系统测试,,,2025-10-3
66,已发布,9.25版本,,机器人充值通道播报继续调整格式,,,需求任务已处理,,,,,,Owen,,,,,,,,2025-9-20
67,已发布,9.25版本,,ARUPI调整,,,需求任务已处理,,Justin,开发完成,,,Len,开发完成,,,Michael,,,,2025-9-24
68,已发布,9.25版本,,充值礼包修复,,,需求任务已处理,,Justin,开发完成,,,Owen,开发完成,,,Marina,测试完成,,,2025-9-24
69,已发布,快速迭代,,提现和邀请转盘自动审核规则，要根据渠道设置不同的条件,运营,Porter,需求任务已处理,2025-10-24,Justin,开发完成,,,Owen,开发完成,,,Marina,测试完成,,,2025-11-1
70,已发布,9.25版本,,后台上传PNG转WEBP,,,需求任务已处理,,Justin,开发完成,,,,,,,Carey,测试完成,,,2025-9-20
71,已发布,9.25版本,,AR9需求问题：充值类型排序问题-PhonePe无法设置为第二位l,,,需求任务已处理,,,,,,Hyman,开发完成,,,Marina,测试完成,,,2025-9-24
72,已发布,10.23版本,,"目前谷歌推送不能稳定跳转到指定页面，要尽快解决
推送页面需要加两栏数据：点击数量和点击率。",,Jay,需求任务已处理,,June,,,,Gavin,-,2025-10-15,2025-10-18,Michael,系统测试,,,2025-10-22
73,已发布,10.23版本,,邀请转盘审核增加渠道来源查询条件,,Jay,需求任务已处理,2025-9-17,atman,开发完成,,,andy,,2025-10-15,2025-10-16,Marina,测试完成,,,2025-10-22
74,已发布,10.2版本,,用户流失分析查询条件调整,,,需求任务已处理,,atman,,,,Hyman,开发完成,,,Marina,测试完成,,,2025-10-3
75,已发布,9.25版本,,首充分析两个无复充的百分比添加以及下载,,,需求任务已处理,,Sam,,,,Owen,,,,Marina,系统测试,,,2025-9-24
76,已发布,快速迭代,新增功能,新增一个未首存统计的功能，这个区分为两项，一项是当天注册当天未充值-未2充-未3充，一项是当天登录未首存-未2充-未3充，10分钟或者半小时更新一次，需要可直接下载名单的功能，更新的时候如果之前的会员充值的要自动剔除掉未首存的名单内,运营,Jay,需求任务已处理,2025-10-24,atman,开发完成,,,Damon,,,,Michael,测试完成,,,2025-11-7
77,已发布,9.25版本,,首二三充，首二三提，首充分析等带手机号码导出的数据需要增加渠道来源列，并且首充分析要的是手机号码，不是账号（要么就是非手机号的账号不要展示内容，留空）,运营,,需求任务已处理,2025-9-22,,,,,Owen,开发完成,,,Marina,测试完成,,,2025-9-24
78,已发布,9.25版本,,运营要求把充值推送成功率里面的订单数、成功数、成功金额也改成10分钟的，现在是只有成功率才是十分钟的，导致显示的成功率看起来像不正确,,,需求任务已处理,2025-9-22,,,,,Owen,开发完成,,,Marina,测试完成,,,2025-9-24
79,已发布,9.25版本,,Y1版面注册绑定国家区号需要调整为读取后台配置,加加加急,,需求任务已处理,2025-9-23,Justin,开发完成,,,,,,,Marina,测试完成,,,2025-9-24
80,已发布,9.25版本,,返回按钮跳转调整,加加加急,,需求任务已处理,2025-9-23,Justin,开发完成,,,,,,,Carey,测试完成,,,2025-9-24
81,已发布,10.2版本,,运营要求后台游戏名称搜索的功能加速优化，现在必须要大小写完全一致才能搜索，很不方便,,,,,atman,,,,Hyman,开发完成,,,Marina,测试完成,,,2025-10-3
82,已发布,10.2版本,,独立注册页面读取后台图片配置,国家区号也是,,需求任务已处理,2025-9-24,atman,,,,Hyman,开发完成,,,Marina,测试完成,,,2025-10-3
83,已发布,9.25版本,,弹窗和侧边栏MENU弹出速度加快,,,需求任务已处理,2025-9-24,,,,,,,,,Carey,测试完成,,,2025-9-24
84,已发布,9.25版本,,前端KV获取数据更换为接口请求,,,,,Seven,,,,,,,,Michael,测试完成,,,2025-9-24
85,已发布,10.2版本,,提现发起金额和手续费字段进行汇总统计,,,需求任务已处理,2025-9-23,atman,,,,Hyman,开发完成,,,Marina,测试完成,,,2025-10-3
86,已发布,快速迭代,首页漂浮,1. 首页增加小浮窗（可放代理、频道、优惠活动入口、VIP），参考EK7。,运营,Porter,需求任务已处理,2025-10-25,atman,开发完成,,,andy,开发完成,,,Marina,测试完成,,,2025-11-7
87,已发布,,APP打开的加载页,改成简单的，放品牌RA9的LOGO+Loading...的图,运营,,,,,,,,,,,,Carey,,,,2025-10-15
88,已发布,10.2版本,,自动出款按钮关闭时不隐藏下面的内容,,,需求任务已处理,2025-9-25,Justin,开发完成,,,,,,,Marina,测试完成,,,2025-10-3
89,暂不处理,10.2版本,APK,原生包制作及纳入自动打包流程,是否能加加班一周搞定,Jay,需求任务已处理,2025-9-25,"June, Seven",开发完成,2025-9-25,2025-9-30,Owen,开发完成,,,"Michael, Carey",系统测试,,,
90,暂不处理,10.2版本,APK,原生包热更功能,是否能加加班一周搞定,Jay,需求任务已处理,2025-9-25,"June, Erde",开发完成,2025-9-25,2025-9-30,Owen,开发完成,,,"Michael, Carey",系统测试,,,
91,已发布,10.23版本,,会员提现绑定-银行卡信息页面增加查询条件,,Jay,需求任务已处理,2025-9-25,atman,开发完成,,,andy,,2025-10-15,2025-10-16,Marina,测试完成,,,2025-10-22
92,已发布,10.2版本,,游戏投注订单：导出需求含投注金额、投注类型和投注内容。,,,需求任务已处理,,,,,,Hyman,开发完成,,,Marina,测试完成,,,2025-10-3
93,已发布,10.2版本,,需求：运营想要在游戏投注订单页面增加一个类型筛选,增加多选,,需求任务已处理,,,,,,Hyman,开发完成,,,Marina,测试完成,,,2025-10-3
94,已发布,10.2版本,,充值礼包-回归礼包天数计算调整,,,需求任务已处理,,,,2025-9-25,,Owen,开发完成,,,Marina,测试完成,,,2025-10-3
95,已发布,10.2版本,ARPAY,ARupi需求调整下收银台UI,,,需求任务已处理,2025-9-29,Justin,开发完成,,,,,,,Michael,,,,2025-10-3
96,已发布,10.23版本,,充值通道-最后更新时间-需要日期和时间中间有间隔,,Jay,需求任务已处理,2025-9-25,atman,开发完成,,,andy,,2025-10-15,2025-10-16,Marina,测试完成,,,2025-10-22
97,已发布,快速迭代,,需求：RA9 运营要求转盘已成功邀请轮数显示 实际的次数。,,Jay,需求任务已处理,2025-10-23,atman,开发完成,,,Len,开发完成,,,Carey,测试完成,,,2025-10-28
98,已发布,10.10版本,,需求：运营要求调整充值/提现推送机器人,,Jay,需求任务已处理,,,,,,Owen,,,,Marina,测试完成,,,2025-10-12
99,暂不处理,等日志定位到后修改,,运营反馈工单存款未到账自动化的订单超时卡在系统处理中，没有转到待处理,加了日志,Jay,需求任务已处理,,,,,,Damon,,,,Marina,,,,
100,暂不处理,,,需求：运营需要在后台添加一个批量关闭投注返佣的功能,,,暂不修改,,,,,,,,,,,,,,
101,已发布,10.2版本,,运营反馈前台登录点击忘记密码没有反应，麻烦帮忙看下,,,需求任务已处理,,Justin,,,,,,,,Marina,测试完成,,,2025-10-3
102,暂不处理,,,"站点：6002-bdwin24-孟加拉对接群 
站点要求在 会员列表--会员详情--钱包信息 中加入可以删除钱包的  删除功能",,,暂不修改,,,,,,,,,,Marina,,,,
103,已发布,10.10版本,,USDT设定绑定0，前端表现调整,,Jay,需求任务已处理,,Erde,,,,Owen,,,,Marina,测试完成,,,2025-10-12
104,已发布,10.2版本,,运营在工单系统-首页配置列表里面上传图片，提示数据库异常，需要技术看下是什么原因,,,需求任务已处理,,,,,,Damon,,,,Marina,测试完成,,,2025-10-3
105,暂不处理,,,运营反馈每天都会掉线，这里的token过期时间不是调整到30天了吗,,,,,,,,,,,,,,,,,
106,暂不处理,,,"运营要求将工单输入框默认的文字改成：
Enter error/bug details — more info = higher bonus (99–999 via Inbox).",,,,,,,,,,,,,Marina,,,,
107,已发布,10.10版本,,运营希望后台-通用消息-定制版面轮播图的跳转类型新增 跳转工单的指定页面 ,,Jay,需求任务已处理,,atman,,,,Hyman,开发完成,,,Carey,测试完成,,,2025-10-12
108,已发布,10.2版本,,工单系统上传视频文件限制放开到50M,,,需求任务已处理,,Justin,,,,Damon,,,,Carey,测试完成,,,2025-10-3
109,已发布,10.10版本,,"需求：运营想要将“投注类型”和“投注内容”修改成老后台一样的显示,麻烦帮忙看下",,Jay,需求任务已处理,,June,开发完成,2025-10-8,2025-10-8,,-,,,Michael,测试完成,,,2025-10-12
110,已发布,10.10版本,,落地页推广增加PWA包及埋点,,Jay,需求任务已处理,,"Erde, atman",,,,Owen,联调,,,Michael,,,,2025-10-12
111,已发布,快速迭代,,H5端登陆增加强制下载功能,,Jay,需求任务已处理,2025-11-20,Erde,开发完成,,,Owen,开发完成,,,Carey,测试完成,,,2025-12-11
112,已发布,10.10版本,,下载按钮逻辑调整,,Jay,需求任务已处理,,"Erde, atman",,,,Owen,,,,Marina,测试完成,,,2025-10-12
113,已发布,10.10版本,,游戏厂商管理及子游戏管理排序,,Jay,需求任务已处理,,,,,,Hyman,开发完成,,,Marina,测试完成,,,2025-10-12
114,已发布,10.10版本,,邀请成功奖金&被邀请人奖金派发时增加账变记录的备注信息,,Jay,需求任务已处理,,,,,,Len,开发完成,,,Carey,测试完成,,,2025-10-12
115,暂不处理,,,需求：运营想要在后台【风控管理】【黑名单会员】新增批量解冻会员的功能,目前有一种复选的批量解冻,Jay,,,,,,,,,,,,,,,
116,已发布,,,运营反馈 使用arupi支付 跳转app的时候会提示 访问过于频繁请稍后重试。  运营要求排查 是不是代码上有冲突导致的， 是不是我们这边的问题。,,,,,,,,,,,,,Michael,,,,2025-10-6
117,已发布,10.10版本,,RA9首页新版面,,Jay,需求任务已处理,2025-10-7,Erde,开发完成,,,,,,,"Carey, Marina",测试完成,,,2025-10-12
118,已发布,10.10版本,,充提设置增加充值页广告图配置,,Jay,需求任务已处理,2025-10-7,,,,,Hyman,开发完成,,,Marina,测试完成,,,2025-10-12
119,已发布,10.23版本,,商品模式下新增每次充值后默认快捷金额显示配置,,Jay,需求任务已处理,2025-10-8,atman,开发完成,,,Damon,开发完成,2025-10-15,2025-10-16,Marina,测试完成,,,2025-10-22
120,已发布,10.23版本,,【充值通道报表】新增【三方充提通道（小时级）】,,Porter,需求任务已处理,2025-10-10,alex,开发完成,,,nick,,2025-10-15,2025-10-18,Michael,系统测试,,,2025-10-22
121,已发布,10.23版本,,新增【充提通道权重变更记录】,,Porter,需求任务已处理,2025-10-10,atman,开发完成,,,andy,,2025-10-16,2025-10-17,Marina,测试完成,,,2025-10-22
122,已发布,10.23版本,,【财务管理】新增【财务数据统计】菜单，新增【充提订单统计】页面,,Porter,需求任务已处理,2025-10-10,,,,,aaron,,2025-10-15,2025-10-18,Michael,系统测试,,,2025-10-22
123,已发布,10.23版本,,页面迁移【充提通道报表】,,Porter,需求任务已处理,2025-10-10,,,,,Len,开发完成,2025-10-15,2025-10-16,Carey,系统测试,,,2025-10-22
124,已发布,10.23版本,,新增会员活动黑名单功能,,Jay,需求任务已处理,2025-10-10,atman,开发完成,,,Owen,开发完成,2025-10-15,2025-10-18,"Carey, Marina",测试完成,,,2025-10-22
125,已发布,10.23版本,,充提通道报表统计调整,,Porter,需求任务已处理,2025-10-10,,,,,Len,开发完成,2025-10-15,2025-10-16,Carey,系统测试,,,2025-10-22
126,已发布,10.23版本,,提现订单增加多次三方代付记录,,Jay,需求任务已处理,2025-10-11,atman,开发完成,,,Damon,开发完成,2025-10-16,2025-10-17,Marina,测试完成,,,2025-10-22
127,已发布,紧急,,ARUPI的phonepe交互调整,,Jay,需求任务已处理,2025-10-12,,,,,,,,,Michael,,,,2025-10-15
128,已发布,紧急,,下载按钮逻辑支持已安装PWA都要优先打开PWA,,Jay,需求任务已处理,2025-10-14,,,,,,,,,Michael,,,,2025-10-15
129,已发布,,,完整版新版面,,Jay,需求任务已处理,2025-10-14,,,,,Damon,,,,"Carey, Marina, vivi, Michael",测试完成,,,2025-11-28
130,已发布,快速迭代,LTV统计报表,添加LTV数据统计，以首充用户和新增用户为基数分为2类，需要可以查看全盘数据或单渠道数据。,运营,Jay,需求任务已处理,2025-10-18,Darrel,开发完成,,,Owen,开发完成,,,Marina,测试完成,,,2025-11-1
131,已发布,,,运营反馈 使用arupi支付 跳转app的时候会提示 访问过于频繁请稍后重试。  运营要求排查 是不是代码上有冲突导致的， 是不是我们这边的问题。,,,,,,,,,,,,,,,,,2025-10-15
132,暂不处理,,,"会员id：297239
会员说，当他们打开游戏时，游戏显示加载，但无法打开，并直接返回主页面。麻烦帮忙看下",,,需开发排查,,,,,,,,,,,,,,
133,已发布,快速迭代,,需求：运营想要在后台充值转盘-【转盘奖励记录】【转盘次数发放记录】这两个页面添加导出功能,,Jay,需求任务已处理,2025-10-18,Seven,,,,Damon,,,,Carey,测试完成,,,2025-10-25
134,已发布,,,运营反馈同样的环境，访问a45.com明显比ra9快很多，需要帮忙看下如何优化,,,需开发排查,,,,,,,,,,,,,,2025-11-15
135,暂不处理,,,运营反馈：首充活动跟二充活动都是强制性参加的，但是领取活动奖励人数与实际人数相差过大,,,,,,,,,,,,,Marina,,,,
136,暂不处理,,,经济系统日报界面需要优化，内容比较多，空的地方太多了导致很难操作，滑条都看不到,,Jay,,,,,,,,,,,Marina,,,,
137,已发布,快速迭代,,后台多语言后端字典等枚举翻译支持,,Jay,需求任务已处理,2025-10-14,atman,开发完成,,,Gavin,开发完成,,,"Marina, Carey, vivi",测试完成,,,2025-11-26
138,已发布,快速迭代,,新增活动，亏损救援金，可以参考888i.fun的这个活动,运营,Porter,需求任务已处理,2025-11-18,atman,开发完成,,,Owen,,,,Michael,测试完成,,,2025-12-11
139,已发布,紧急,,TOM版本新套壳包,,,,,,,,,,,,,"Marina, Carey, Michael",测试完成,,,2025-10-15
